env,algorithm,run,trial,mc_mean,mc_stddev
taxi,UCT,17,10000,-53.98,18.4571
taxi,UCT,17,11000,-54.27,16.9865
taxi,UCT,17,12000,-53.225,18.2345
taxi,UCT,17,13000,-53.615,19.9072
taxi,UCT,17,14000,-52.465,17.6475
taxi,UCT,17,15000,-52.4,18.35
taxi,UCT,17,16000,-51.18,19.3528
taxi,UCT,17,17000,-50.39,21.0739
taxi,UCT,17,18000,-50.33,18.4323
taxi,UCT,17,19000,-51.62,17.4988
taxi,UCT,17,20000,-50.565,19.1276
taxi,UCT,17,21000,-52.86,18.4394
taxi,UCT,17,22000,-52.165,15.8906
taxi,UCT,17,23000,-51.335,19.3103
taxi,UCT,17,24000,-49.985,19.3231
taxi,UCT,17,25000,-51.465,17.2722
taxi,UCT,17,26000,-49.245,17.5343
taxi,UCT,17,27000,-49.505,15.465
taxi,UCT,17,28000,-51.23,16.5267
taxi,UCT,17,29000,-50.24,18.3353
taxi,UCT,17,30000,-50.2,16.8201
taxi,UCT,18,1000,-46.63,33.8105
taxi,UCT,18,2000,-42.385,33.0025
taxi,UCT,18,3000,-39.88,33.7445
taxi,UCT,18,4000,-37.085,33.439
taxi,UCT,18,5000,-38.83,32.0163
taxi,UCT,18,6000,-36.035,31.9077
taxi,UCT,18,7000,-36.205,32.238
taxi,UCT,18,8000,-35.04,34.228
taxi,UCT,18,9000,-36.015,32.0373
taxi,UCT,18,10000,-35.65,30.5186
taxi,UCT,18,11000,-32.285,31.8706
taxi,UCT,18,12000,-31.69,32.9857
taxi,UCT,18,13000,-31.96,30.9425
taxi,UCT,18,14000,-31.345,31.5871
taxi,UCT,18,15000,-32.205,31.7383
taxi,UCT,18,16000,-32.07,31.9465
taxi,UCT,18,17000,-29.82,32.6915
taxi,UCT,18,18000,-31.13,31.0081
taxi,UCT,18,19000,-29.875,32.3742
taxi,UCT,18,20000,-24.385,32.6531
taxi,UCT,18,21000,-26.315,32.0746
taxi,UCT,18,22000,-27.25,32.1666
taxi,UCT,18,23000,-28.56,31.6259
taxi,UCT,18,24000,-25.625,32.6097
taxi,UCT,18,25000,-28.185,31.3989
taxi,UCT,18,26000,-24.68,32.3731
taxi,UCT,18,27000,-24.825,31.7057
taxi,UCT,18,28000,-23.98,32.2319
taxi,UCT,18,29000,-27.645,31.4676
taxi,UCT,18,30000,-25.13,31.693
taxi,UCT,19,1000,-60.185,17.4226
taxi,UCT,19,2000,-54.425,15.3235
taxi,UCT,19,3000,-55.055,18.6092
taxi,UCT,19,4000,-52.22,16.8159
taxi,UCT,19,5000,-51.95,17.0417
taxi,UCT,19,6000,-50.6,16.5633
taxi,UCT,19,7000,-49.655,16.4844
taxi,UCT,19,8000,-49.025,15.9482
taxi,UCT,19,9000,-49.88,16.5574
taxi,UCT,19,10000,-48.935,16.78
taxi,UCT,19,11000,-48.215,16.0053
taxi,UCT,19,12000,-49.805,17.7268
taxi,UCT,19,13000,-48.41,15.5257
taxi,UCT,19,14000,-49.295,16.9998
taxi,UCT,19,15000,-48.035,16.5676
taxi,UCT,19,16000,-47.945,15.8191
taxi,UCT,19,17000,-48.17,17.3156
taxi,UCT,19,18000,-46.245,15.4219
taxi,UCT,19,19000,-47.435,17.2413
taxi,UCT,19,20000,-48.06,16.8915
taxi,UCT,19,21000,-46.13,17.4789
taxi,UCT,19,22000,-47.06,16.5686
taxi,UCT,19,23000,-47.56,17.3838
taxi,UCT,19,24000,-46.01,15.092
taxi,UCT,19,25000,-44.685,16.4202
taxi,UCT,19,26000,-45.245,17.3951
taxi,UCT,19,27000,-45.56,15.7944
taxi,UCT,19,28000,-45.74,15.9381
taxi,UCT,19,29000,-45.83,16.6932
taxi,UCT,19,30000,-46.175,17.4593
taxi,UCT,20,1000,-65.425,19.4017
taxi,UCT,20,2000,-59.315,18.1984
taxi,UCT,20,3000,-57.485,16.0586
taxi,UCT,20,4000,-56.99,16.3851
