function,function_index,dimension,instance,best_f_cma,best_f_berw,label,misranking_rd,variance_rel_sd,pred_misranking,pred_variance
117,17,40,14,59909.20489,81098.83292,cma,0.3111111111111111,0.8193192713621089,berw,berw
117,17,40,15,92000.62605,36393.56329,berw,0.23111111111111113,1.278642810590642,berw,berw
118,18,40,1,801.7443879,731.6350776,berw,0.0,3.2389528155483906e-06,cma,cma
118,18,40,2,390.6793492,623.4545783,cma,0.0,1.7580358774656932e-06,cma,cma
118,18,40,3,842.3297543,660.8743305,berw,0.0,1.9528611040264655e-06,cma,cma
118,18,40,4,517.6640428,454.6388635,berw,0.0,1.878650447932006e-06,cma,cma
118,18,40,5,1056.635728,404.8211784,berw,0.0,2.652880112810826e-06,cma,cma
118,18,40,6,601.646316,933.2397732,cma,0.0,1.3449737939024875e-16,cma,cma
118,18,40,7,726.3984618,651.0985279,berw,0.0,2.688434087735725e-06,cma,cma
118,18,40,8,318.2414395,578.840532,cma,0.0,1.1833279659967076e-06,cma,cma
118,18,40,9,534.7642317,357.9440499,berw,0.0,2.1145551155666544e-06,cma,cma
118,18,40,10,494.7711006,511.4075681,cma,0.0,7.707551891467003e-06,cma,cma
118,18,40,11,649.1997294,555.0868589,berw,0.0,6.810060376743769e-07,cma,cma
118,18,40,12,439.6968711,498.5497314,cma,0.0,8.266219604944806e-06,cma,cma
118,18,40,13,544.5838682,570.7932286,cma,0.0,1.8584587239637243e-16,cma,cma
118,18,40,14,660.5269716,391.9709224,berw,0.0,6.767922435960211e-07,cma,cma
118,18,40,15,584.8677654,553.1351097,berw,0.0,0.001205659172046694,cma,cma
119,19,40,1,25.22042746,29.15933096,cma,0.3466666666666667,1.3778368710356215,berw,berw
119,19,40,2,35.72557444,28.54240231,berw,0.24888888888888888,0.9147657333833762,berw,berw
119,19,40,3,28.98692385,17.53388574,berw,0.3377777777777778,0.5750539291895,berw,berw
119,19,40,4,22.80934059,18.04797196,berw,0.29333333333333333,0.9695331364011606,berw,berw
119,19,40,5,15.41705949,27.67315431,cma,0.36444444444444446,0.8395815602097694,berw,berw
119,19,40,6,34.95249602,30.26924573,berw,0.24000000000000002,1.5368381039311712,berw,berw
119,19,40,7,19.3693767,23.25329069,cma,0.32,3.0777181116844137,berw,berw
119,19,40,8,36.49317594,34.45296322,berw,0.3022222222222222,0.7666869514326287,berw,berw
119,19,40,9,31.87059976,32.71193175,cma,0.24888888888888888,1.9455654835615948,berw,berw
119,19,40,10,26.30599718,24.7070706,berw,0.2755555555555556,0.24720588502290747,berw,berw
119,19,40,11,18.90783109,24.91240863,cma,0.28444444444444444,2.0565496495435,berw,berw
119,19,40,12,28.56272215,23.92126987,berw,0.29333333333333333,2.2490475185130903,berw,berw
119,19,40,13,21.29584339,38.07075146,cma,0.16,1.0909776120475831,berw,berw
119,19,40,14,25.31167012,27.96013694,cma,0.3022222222222222,2.6555338728051514,berw,berw
119,19,40,15,27.35206637,24.89060761,berw,0.18666666666666665,1.361952010154261,berw,berw
120,20,40,1,53.6713825,40.10422233,berw,0.24000000000000002,1.624218060584372,berw,berw
120,20,40,2,35.71751424,37.06221796,cma,0.29333333333333333,2.2559040962956547,berw,berw
120,20,40,3,53.82793398,45.78756151,berw,0.36444444444444446,1.377025533568473,berw,berw
120,20,40,4,28.48437818,49.30422853,cma,0.20444444444444446,1.618865321193123,berw,berw
120,20,40,5,52.34896599,47.61138353,berw,0.3377777777777778,1.7398105677868443,berw,berw
120,20,40,6,46.66730744,43.37044692,berw,0.3555555555555555,1.6873999421047285,berw,berw
120,20,40,7,29.59420343,49.76341341,cma,0.36444444444444446,1.9333434326423327,berw,berw
120,20,40,8,35.95487174,47.38777097,cma,0.3377777777777778,1.6355724117619033,berw,berw
120,20,40,9,53.01095807,42.04450931,berw,0.28444444444444444,1.854757077811268,berw,berw
