angles_pos_neutral,angles_pos_neg,angles_neg_neutral
0.55231273,0.67114496,0.51260465
0.55231273,0.44363797,0.387077
0.55231273,0.48529074,0.48200607
0.55231273,0.56124747,0.43469042
0.48554683,0.5789615,0.5997071
0.41947967,0.6192946,0.5997071
0.45654687,0.63291407,0.5997071
0.5139767,0.67114496,0.5997071
0.49764073,0.50975835,0.28386265
0.42104942,0.37995642,0.28386265
0.43650725,0.4359693,0.28386265
0.5232353,0.44363797,0.28386265
0.55435896,0.526508,0.5767516
0.44750613,0.45953083,0.5767516
0.4572242,0.5427815,0.5767516
0.525447,0.48529074,0.5767516
0.5598413,0.5151294,0.27275288
0.5457277,0.47047484,0.27275288
0.56385803,0.49609843,0.27275288
0.61350524,0.56124747,0.27275288
0.18908127,0.4478035,0.5024405
0.18908127,0.44461346,0.49391136
0.18908127,0.5492914,0.59940004
0.18908127,0.49367243,0.58124375
0.50608623,0.5062171,0.52945536
0.50608623,0.44785434,0.41119164
0.50608623,0.5954704,0.6423942
0.50608623,0.52463377,0.5942373
0.27274394,0.46481055,0.38541138
0.27274394,0.5351403,0.38982993
0.27274394,0.6137663,0.5265453
0.27274394,0.57848763,0.51224494
0.43264565,0.5283258,0.4653458
0.43264565,0.522679,0.48143303
0.43264565,0.6733007,0.57704806
0.43264565,0.6816947,0.5220816
0.5660547,0.4478035,0.3049984
0.58710086,0.5062171,0.3049984
0.6457634,0.46481055,0.3049984
0.71756953,0.5283258,0.3049984
0.472508,0.44461346,0.18107834
0.60958105,0.44785434,0.18107834
0.5453135,0.5351403,0.18107834
0.5038776,0.522679,0.18107834
0.5811918,0.5492914,0.30695954
0.6138263,0.5954704,0.30695954
0.6052265,0.6137663,0.30695954
0.6752732,0.6733007,0.30695954
0.31240416,0.49367243,0.5567931
0.5555577,0.52463377,0.5567931
0.33955768,0.57848763,0.5567931
0.38808692,0.6816947,0.5567931
0.24615349,0.41771716,0.43151045
0.24615349,0.37797934,0.34199327
0.24615349,0.33684704,0.33373013
0.24615349,0.39308554,0.4254949
0.35356832,0.43958214,0.5163765
0.35356832,0.45406818,0.48002785
0.35356832,0.38084424,0.44406655
0.35356832,0.46383342,0.4447501
0.27269542,0.5021582,0.45617044
0.27269542,0.40992922,0.39688367
0.27269542,0.3325262,0.40793547
