GPU,Model,M,cuBLASLt Latency (μs),2:4,2:6,2:8,2:10,2:12,2:14,2:16,2:∞
B200,BitNet-2B,16384,2.53e+03,5.87,4.15,4.20,3.95,3.59,3.31,3.61,3.20
B200,Llama3.2-3B,64,6.60e+01,2.00,1.77,1.75,1.68,1.60,1.47,1.68,1.60
B200,Llama3.2-3B,128,7.58e+01,2.18,1.93,1.93,1.83,1.83,1.63,1.88,1.70
B200,Llama3.2-3B,256,1.01e+02,2.57,2.33,2.22,2.12,2.08,1.88,2.13,1.96
B200,Llama3.2-3B,512,1.62e+02,3.33,2.92,2.78,2.54,2.54,2.25,2.55,2.39
B200,Llama3.2-3B,1024,2.62e+02,3.78,3.34,3.01,2.83,2.83,2.59,2.78,2.54
B200,Llama3.2-3B,2048,4.97e+02,4.98,4.02,3.66,3.32,3.27,2.92,3.25,2.92
B200,Llama3.2-3B,4096,9.41e+02,5.72,4.47,4.06,3.67,3.66,3.16,3.54,3.16
B200,Llama3.2-3B,8192,1.82e+03,6.02,4.53,4.08,3.56,3.55,3.15,3.59,3.16
B200,Llama3.2-3B,16384,3.64e+03,6.15,4.75,4.28,3.72,3.75,3.27,3.62,3.22
B200,Qwen2.5-7B,64,1.17e+02,2.58,2.10,2.00,1.89,1.68,1.78,1.78,1.63
B200,Qwen2.5-7B,128,1.52e+02,3.21,2.53,2.39,2.35,2.04,2.15,2.15,1.95
B200,Qwen2.5-7B,256,2.01e+02,3.84,3.04,2.85,2.67,2.35,2.44,2.56,2.28
B200,Qwen2.5-7B,512,3.27e+02,4.52,3.52,3.45,3.25,2.70,2.93,2.99,2.66
B200,Qwen2.5-7B,1024,5.94e+02,5.33,4.09,3.90,3.69,3.14,3.43,3.41,3.09
B200,Qwen2.5-7B,2048,1.10e+03,5.55,4.04,3.98,3.71,2.90,3.25,3.46,3.03
B200,Qwen2.5-7B,4096,2.13e+03,5.81,4.31,4.09,3.87,3.19,3.32,3.57,3.18
B200,Qwen2.5-7B,8192,4.21e+03,6.17,4.38,4.18,3.99,3.30,3.49,3.51,3.18
B200,Qwen2.5-7B,16384,8.48e+03,6.25,4.35,4.32,4.07,3.24,3.47,3.74,3.18
B200,Qwen2.5-14B,64,1.17e+02,2.69,1.90,1.82,1.72,1.57,1.49,1.65,1.53
