"X","a1","d","g","u"
"X529",0.493654869216059,2.77890642416734,0.0331396967007417,1
"X533",0.616833329056634,0.818151623743042,0.00132396627695999,1
"X534",2.65444628655533,-0.745188250141424,0.598640955702701,1
"X535",3.35886203894865,5.03037117145665,0.523027278078626,1
"X536",12.5370335723361,-14.9533169473513,0.113087975318189,1
"X537",-1.97689396107462,-2.02314359088692,0.314994584349153,1
"X540",11.138976893676,-15.3584587150768,0.094508914937906,1
"X541",-4.98232758035374,-17.2539916931525,0.00152185943042507,1
"X544",9.39956990863075,-0.774930484639546,0.548887320672651,1
"X545",5.20014310317926,7.26379388468549,0.445914485461867,1
"X546",1.8042051075767,1.98007594467528,0.0157429431590464,1
"X547",-0.261067186435359,-6.05602515240694,0.000338778155376884,1
"X548",4.54902094971641,5.17579223093269,0.865864427249123,1
"X549",-0.957626580696874,-0.222046690304709,3.90019359754404e-07,1
"X550",-5.08794142083288,-17.5936285102114,5.68436298758595e-06,1
"X552",-0.670350388222306,-2.36569464251013,5.63595753262763e-05,1
"X555",1.40387634252656,3.95783434336498,0.128966723710833,1
"X556",1.75306240506926,2.59848141634188,0.467733472625229,1
"X557",9.23012253234469,-12.2491190669933,0.020688569508948,1
"X558",3.13550253615134,-2.49560753677732,0.0745596113290796,1
"X559",-0.906921226475575,2.45419432420548,0.000530302805220943,1
"X560",0.55018600581881,0.468739467792561,0.000441279915384124,1
"X561",1.58638141727432,0.823162917846406,0.172515893981762,1
"X564",1.53129863654358,3.21018028340807,0.21369646734043,1
"X565",4.27071508056175,-4.22496496838832,0.0256306582234984,1
"X566",6.47781875287956,-6.57765229868629,0.712236260346708,1
"X568",1.11175464197706,-5.54894429805479,0.00133296147986704,1
"X569",5.26617487715608,-3.01842024579228,0.0159269578855717,1
"X572",3.00052490680707,4.85684335836475,0.925319590835452,1
"X574",-0.484929886925625,2.85062153642981,0.0438529087121692,1
"X575",6.69262971783836,-4.6500299742118,0.56612198201676,1
"X576",7.63919175591526,11.8297346610955,0.893840078729694,1
"X577",-7.43402260042219,-20.8385967374028,0.00731613635447021,1
"X581",8.16524376613015,-8.51903137825712,0.746753661391968,1
"X582",5.16123625722303,-5.35523332682844,0.481188935415166,1
"X584",4.63142800185352,5.3202639397799,0.972792834719413,1
"X585",3.5807807641118,9.24128825565117,0.529256291945321,1
"X586",1.13570000124288,-0.50774188765631,0.0363977674480477,1
